"Title:","Median Home Value - Middle Tier Homes from the Zillow Real Estate Metrics [Archive] Database"
"SubTitle:","Counties within State"
"Time:","04/1996 - 04/2019"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$"
"06/2008",202300,361700,108900,70500,101100,74200,79400,88100,107500,223100,97400,135200,302400,121200,141300,81200,101600,94500,182800,84500,115600,517100,109100,110700,123400,101200,455200,1010800,94500,103600,122100,135500,283500,83200,84400,130000,380800,469900,176000,406200,456200,66800,229100,164000,129400,87900,78200,393400,172100,99800,159600,230400,191800,132800,105300,598600,93300,114000
"07/2008",201700,358300,108900,70700,101300,74300,79600,87700,107300,221800,97500,133600,300000,121200,140900,80700,101300,94600,181900,84300,115200,513400,109200,110600,123400,100900,450200,1004900,94600,103200,122000,135500,280900,83000,84400,129800,378000,465000,176000,403600,453000,66800,228900,163600,128700,87600,77700,389600,171200,99700,159700,228400,191100,132500,104700,593300,92500,113500
"08/2008",201100,354200,108800,70800,101300,74300,79700,87100,107200,220500,97700,132200,297300,121100,140200,80400,101100,94500,180700,84200,114700,509700,109300,110500,123400,100400,445300,999800,94700,102900,122000,135600,278000,83100,84500,129200,375300,461100,175300,400900,449600,66800,228500,163300,128200,87400,77400,386100,169600,99600,159600,227100,190500,131800,104400,588000,92400,113100
"09/2008",200600,350300,108700,70800,101100,74400,79900,86300,107300,219200,97700,130900,294600,121000,139400,80400,101000,94300,179400,84200,114100,506300,109400,110200,123400,100000,440700,994100,94900,102800,121800,135600,275100,83100,84700,128300,372800,457500,174400,398300,446100,66800,227800,162900,127800,87300,77200,382600,167700,99500,159600,226300,190000,130800,104200,583400,92600,112900
"10/2008",200300,346600,108600,70700,100800,74500,80100,85700,107300,217600,97700,129200,292000,120900,138500,80300,100600,94200,178200,84300,113300,502600,109500,109800,123300,99700,436500,986900,95100,102900,121700,135500,272300,83100,84900,127400,370400,453900,173400,395900,442500,66800,227400,162500,127400,87100,77100,379100,165400,99400,159700,225300,189400,129800,104000,579200,92900,112600
"11/2008",200100,343600,108400,70600,100500,74500,80300,85000,107300,216000,97600,127500,289600,120800,137500,80100,100300,94300,176800,84300,112700,498700,109600,109500,123300,99500,432500,978300,95400,103000,121600,135600,269700,83000,85100,126500,367700,450800,172300,393800,438600,66800,227200,162100,127100,86900,77000,375600,162800,99200,159900,224200,188600,128800,103700,574700,93200,112400
"12/2008",200000,340700,108200,70500,100200,74600,80500,84500,107300,214400,97600,126100,287400,120700,136600,79900,100200,94700,175400,84300,112200,494900,109700,109200,123300,99500,428800,968800,95700,103100,121500,135600,267300,82900,85200,125900,365400,448100,171400,391700,434600,66800,227200,161800,126800,86800,76900,372200,160500,99100,160100,223300,188100,128100,103500,570400,93600,112300
"01/2009",200100,336300,108100,70500,100000,74800,80700,84300,107300,213000,97700,125200,285200,120600,136300,79700,100200,95200,174100,84400,111800,491500,109900,109000,123400,99400,425100,959800,96000,103200,121500,135700,264800,82800,85400,125300,363000,444900,170500,389800,431000,67100,227500,161800,126600,86600,77000,369500,159100,99100,160400,222400,188100,127700,103500,566400,93900,112200
"02/2009",200200,330900,108200,70500,99800,74900,80900,84000,107400,212300,97800,124200,283200,120500,135900,79900,100000,95500,173100,84500,111700,487300,110000,108900,123500,99100,421400,952100,96300,103200,121500,135900,262500,82800,85500,124700,360100,441100,169800,388200,428000,67500,227700,161700,126400,86600,77100,367300,157900,99100,160800,221500,188100,127500,103500,562200,94100,112100
"03/2009",200000,326300,108500,70700,99800,75100,81000,83400,107600,211700,97900,123800,281500,120500,135600,80400,100100,95600,172200,84600,111500,483500,110200,108700,123500,98700,418200,944900,96700,103300,121600,136200,260500,82700,85600,124200,357000,437700,169000,387000,425100,68000,227900,161500,126200,86600,77200,364800,156600,99400,161100,221200,187800,127300,103500,557600,94300,112000
"04/2009",199600,322100,108700,70900,99900,75300,81200,82900,107800,210800,98000,123700,279500,120500,135300,80900,100500,95500,171400,84500,111100,480600,110300,108600,123500,98300,415000,937900,96900,103400,121700,136300,258600,82600,85600,123900,354800,435000,168000,385900,421700,68300,227900,161100,126200,86700,77300,361700,156100,100000,161100,221000,187400,127100,103400,553000,94500,111900
"05/2009",199100,317900,108900,71100,100000,75500,81300,82600,107800,209600,98100,123000,277300,120400,135100,80900,100600,95400,170500,84500,110600,476800,110500,108400,123500,97900,410900,932100,97100,103300,121500,136500,256500,82500,85500,123200,352700,432000,167100,384100,417900,68500,227500,160700,126100,86600,77500,357800,156200,100400,160900,220500,187000,126700,103300,548000,94500,111800
"06/2009",198300,313600,108900,71300,100000,75600,81400,82500,107700,208700,98200,122300,275000,120300,134600,80600,100600,95300,169200,84500,110300,471700,110600,108200,123400,97800,406600,924000,97300,103100,121300,136600,254400,82600,85600,122400,349900,428700,166400,382000,413600,68600,227100,160200,125800,86500,77600,354500,156100,100500,160700,219400,186400,126000,103300,542500,94500,111600
"07/2009",197800,309100,108800,71500,100400,75800,81600,82300,107600,209200,98400,122800,272300,120300,134700,80000,100900,95400,167900,84600,110300,467900,110800,108100,123400,98200,403400,910400,97400,102900,121200,136600,252400,82900,85700,121800,346500,426600,166200,380400,409400,68600,227000,160000,125300,86400,77800,353100,155900,100200,160500,218100,185800,125800,103400,537200,94400,111200
"08/2009",197600,305100,108500,71700,101000,75800,81700,82100,107400,210700,98800,124400,269600,120500,135300,79500,101300,95300,167000,84900,110600,466400,110900,108200,123500,98900,401700,893800,97400,102400,121200,136400,250400,83300,85800,121700,343300,425600,166500,379800,405900,68400,227400,159900,124800,86400,78200,353100,155600,100100,160600,216800,185700,126100,103400,533200,94200,110800
"09/2009",197700,303200,108100,71800,101600,75900,82000,82000,107300,212300,99000,126200,267300,120700,136400,79100,101500,95200,166600,85200,110900,467000,111200,108400,123600,99600,401200,879600,97200,102000,121300,136100,248600,83600,85900,121800,340500,425100,167100,379600,403500,68100,227800,159700,124300,86500,78600,353100,155000,100500,160800,214900,185900,126800,103600,531000,94100,110500
"10/2009",198100,303200,107700,71900,102200,75900,82300,82200,107500,213900,99000,127800,265500,121000,138000,78800,101600,95100,166200,85500,111200,468700,111400,108600,123800,100300,401600,870000,97000,101700,121500,135700,247200,83800,86200,121900,338000,425100,167500,379800,402400,67900,228300,159500,124000,86600,79000,353300,154000,101100,161100,212500,186300,127500,103800,530100,93900,110200
"11/2009",198700,305000,107500,71900,102800,75700,82500,82300,107600,215000,99100,129000,264300,121300,139800,78500,101500,95300,165700,85600,111500,471000,111400,108700,124100,101000,402400,865100,96800,101600,121500,135400,246400,84000,86400,121900,336100,426200,168000,380000,402100,67600,228700,159400,123800,86500,79500,353300,152800,101500,161500,210600,186600,128100,104000,530000,93700,110000
"12/2009",199400,306800,107500,71700,103200,75700,82700,82600,107800,216800,99200,130000,263500,121500,141900,78200,101600,95600,165000,85800,111900,473700,111600,108800,124400,101700,403600,863700,96600,101500,121500,135400,245700,84000,86600,122000,335500,427300,168400,380200,402300,67300,228700,159200,123500,86400,79900,353500,150900,101900,162500,209200,186400,128600,104300,530700,93600,110000
"01/2010",200100,307300,107500,71600,103400,75700,82900,83700,108000,218200,99300,130700,262900,121600,140300,77800,101600,96000,164500,86000,112300,476000,111800,108900,124700,102100,404400,864100,96400,101500,121500,135700,245200,84300,86700,122100,335500,427900,168800,380300,403000,67200,228700,158700,123300,86500,79900,352900,148800,102200,163900,208400,185500,129100,104600,531800,93600,110000
"02/2010",200700,306800,107700,71700,103700,75800,83000,84600,108300,219000,99400,131800,263100,121700,139700,78100,101900,96300,164700,86100,112400,478100,111700,109000,124900,102200,405100,865100,96300,101500,121600,135800,245800,84500,86700,122600,335700,428500,169000,380600,404100,67300,229300,158600,123500,86600,79900,353400,148800,102500,164300,208600,185800,129600,104700,532300,93700,109900
"03/2010",200700,307100,107800,71600,103500,75600,83000,84000,108200,217600,99600,129200,263000,121800,139100,78500,100600,96500,163900,86100,112700,472600,112000,109000,124900,101600,405100,866000,96700,101500,121500,135700,245400,84900,86800,121400,334200,427200,168900,382000,405100,67800,229700,159100,123300,86900,80100,353800,149000,102400,164100,208800,187000,130100,105200,532300,93600,110200
"04/2010",200200,308700,107600,71100,102400,75100,83000,83300,108000,214900,99800,124500,261900,122000,136500,78200,98400,96600,161200,86200,114100,461000,112700,108900,125000,100300,403700,868400,97500,101700,121100,135800,242800,85200,86800,118900,330500,422900,169000,382900,405600,68500,229400,159000,122500,87300,80100,353100,147500,101400,164300,208700,187700,130300,106000,532900,93700,110800
"05/2010",199800,312000,107100,70600,101200,74500,83000,83300,108200,211400,99800,122700,260400,122200,133400,78600,97700,96700,158600,86500,115900,455000,113200,108800,125200,99000,402600,873100,98400,102100,120800,136300,240300,85200,86500,117900,327400,419600,169300,382800,405400,69000,229200,158500,122200,87900,79800,351200,145500,99900,164600,209300,187400,130300,106800,533400,94000,111500
"06/2010",199500,315900,106300,70300,100600,74000,83100,83400,108500,209000,99700,123900,258800,122500,134500,80000,98700,97000,158200,86700,117400,458600,113200,109000,125200,98200,403500,878900,98600,102900,120900,136600,239500,84700,86300,118500,326000,420000,169900,383400,405000,69200,229000,158200,122200,88400,79900,351000,145000,99700,164900,210200,187100,130400,107400,533000,94100,112100
"07/2010",198800,318900,105300,70000,100000,73700,83200,83300,108800,207800,99400,123800,257000,122900,134900,81200,99100,97400,158400,86700,117600,460600,113200,108700,124800,97600,404400,885900,98900,103900,120700,136700,239100,84400,86000,118900,325500,421500,170200,385400,404700,69600,228900,157700,121900,88900,80100,350200,145200,100300,165000,210300,186000,130500,107400,532600,93900,112500
"08/2010",197900,319800,104500,70000,99900,73400,83200,83100,109300,206900,98800,122800,255300,123000,134900,81500,98900,97300,157900,86500,117500,458600,113100,108200,124300,96400,403700,892900,99200,104500,120300,136700,238200,84200,85800,118700,326300,420000,169500,387400,403500,70200,228800,157000,121300,89000,80000,348200,145500,100300,164900,210400,184400,130400,107000,531900,93700,112500
"09/2010",197100,319700,103500,69900,100100,73200,83100,82500,109300,205000,98000,121100,253600,123000,134700,81000,98600,96800,157100,86100,118000,454400,113100,107800,123900,94700,401800,898900,99600,104500,120000,136900,236800,84500,85900,118200,327900,415500,168600,388500,401300,70800,228600,156300,120600,88800,79700,345100,144700,99900,164700,210600,182800,130300,106700,528600,93600,112100
"10/2010",196000,319300,102400,69700,100300,73300,83200,82200,108900,201700,98100,121400,251900,123000,134000,80300,98500,96500,156900,85800,119000,453100,113200,108000,123600,93500,400300,900700,99600,104200,119800,136900,235000,84700,85900,118200,328000,412600,168000,387800,399900,71500,228200,155800,119800,88400,79700,343000,144500,100000,164600,210000,182100,129800,106300,525300,93500,111700
"11/2010",194400,309800,102000,69700,100600,73700,83300,82200,108700,198800,98500,123500,250800,123100,133000,79600,98100,96400,157200,85700,119400,454000,113100,108200,123300,91900,398400,899000,99400,103600,119600,136500,232500,84900,85900,118100,326800,409800,166900,385400,399300,72400,228000,155700,118700,87900,79700,341700,145000,100700,164500,209000,181900,129200,105900,524100,92900,111300
"12/2010",192800,298400,102500,70100,100800,73900,83500,82800,108600,197400,98900,125000,250200,123300,131700,78600,97300,96200,157700,85200,119600,454700,113200,108600,122800,89900,395500,896200,99300,102800,119000,136200,230400,85000,86200,117000,324200,407900,165700,383300,398300,73600,227900,155500,117600,87500,79800,338900,144300,101500,164600,208500,181900,128200,105900,523700,92400,110700
"01/2011",191700,298000,103100,70700,100600,73800,83700,83500,109100,196800,99100,124400,249400,123300,131100,77400,96600,96200,157700,84200,119800,454000,113600,108700,122500,88700,392500,895100,99400,102300,118300,136200,229200,84900,86100,116100,319900,407700,165100,381900,396700,73500,227900,155200,116400,87200,80100,334700,141700,102100,165000,207900,181500,126500,105900,521500,92400,109900
"02/2011",191200,305300,102900,71100,100200,73600,83900,83800,109800,195700,99300,123700,247700,123200,130100,76000,96400,96400,156000,83200,119600,457100,113600,108900,122300,88600,390400,896500,99200,102100,118000,136300,228100,84900,85700,116200,314900,409600,164600,379400,394000,71800,227700,154100,115200,86800,80300,330600,138500,102800,164900,206200,180500,124700,105800,518200,92300,109600
"03/2011",191200,307200,102200,71200,99500,73500,84000,83100,110100,196600,99500,123500,245700,123000,128900,75400,97000,96400,153500,82500,119900,464700,113400,108600,122100,89300,388500,900600,98900,101700,118100,136500,226900,84900,85500,116800,311400,409900,164200,373200,390500,69900,227100,152300,114100,86600,80600,327500,137000,103200,164100,202800,179800,123800,105500,514600,91800,109200
"04/2011",191400,304500,101500,71300,99000,73700,84000,82900,109800,200000,99800,124200,244700,122700,127700,75900,97600,96200,151300,82300,119200,472400,113500,108300,121900,90900,387100,902400,98500,101400,118300,136200,226300,84900,85600,117700,309000,411100,164300,367100,388300,69000,226700,151200,113300,86300,81100,326700,135400,103000,163300,198800,180100,123600,105200,510300,91300,108500
"05/2011",191800,299800,101100,71600,99100,74000,84100,83600,109200,203700,100300,124600,243300,122500,126800,76800,97700,96000,150000,82200,117200,476300,113800,108400,121500,92200,386000,900500,97700,101400,118300,135400,225600,84900,85400,119000,307200,413800,164000,364600,386500,68700,226400,151100,112700,85900,81500,328900,133000,103000,163100,195100,180700,123100,105000,505500,91200,107600
"06/2011",193000,294700,100800,71600,99400,73900,84300,84900,108700,205600,100700,123900,240600,122300,125700,77700,97200,95500,149300,81900,115800,478000,114000,108500,121200,92500,385200,899600,96900,101000,118400,134600,224000,84900,85000,119800,306600,414600,163100,363400,384100,68700,225800,151200,112300,85800,81800,330600,131000,102800,162900,193600,180300,122800,104600,503600,91100,107300
"07/2011",193900,292300,100700,71200,99600,73800,84600,85300,108500,204600,101000,122400,238000,121900,125300,78400,96800,95000,150000,81800,115800,479900,114200,108500,121200,92300,384700,903000,96300,100300,118500,134200,222600,84800,84700,119900,306800,411900,162200,361200,381200,68900,225200,150500,112000,85800,82000,330000,130200,102200,162900,193400,179400,122900,104400,503800,90800,107400
"08/2011",193700,292500,100700,70700,99800,73700,85000,85200,108200,201400,100800,120900,236700,121700,125300,79100,96300,95300,151600,81800,116200,481200,113900,108200,121400,92300,383800,905900,96000,100300,118400,134100,222100,85100,84700,119600,306300,411200,161800,359200,378800,69400,224700,149700,112000,85700,82100,328700,129400,101600,162600,192100,178200,122600,104400,502800,90600,107700
"09/2011",193300,292500,100800,70500,100000,73600,85500,84800,108000,199600,100800,119900,236500,121600,125300,80000,96200,96200,152400,82200,116800,481800,113700,107600,121400,92200,382600,906800,96200,100600,118200,134300,221600,85300,84900,119400,303200,414500,161500,358200,377600,70000,224000,149300,112400,85800,82400,327700,129100,101500,162100,188800,177500,122100,104600,501800,90800,108100
"10/2011",193200,291700,101400,70700,99800,73500,86000,84700,108100,199300,101000,118400,236200,121600,125300,80700,97100,96600,152400,82700,116900,481800,113900,106900,121700,91700,381200,908700,96800,100800,117900,134700,220800,85200,85400,118900,299400,416000,161700,357800,376500,70500,223300,149400,112500,85400,82600,326100,128200,101400,161900,186100,176800,122700,104700,501800,91000,108500
"11/2011",193000,291800,101900,70900,99800,73200,86400,84700,108200,199400,100900,115400,234000,121500,125400,81600,98400,96800,153300,83000,117000,481600,113900,106500,122000,90800,379400,912200,97200,100600,117700,135300,220000,85100,85800,118400,297600,413800,162000,357900,374700,70600,222600,149400,112700,84700,82800,325000,127400,101200,161500,184000,177200,123500,104900,501200,91000,108700
"12/2011",192700,290900,101800,71000,100100,72800,86800,83800,108200,199700,100500,112700,230800,121100,125300,82500,99400,97000,154300,83200,117700,481000,114200,106100,122100,90000,377600,915000,97300,100400,118200,135700,219500,85400,86300,118100,298300,409800,162200,358000,373400,70400,222100,149100,113000,84200,83100,325500,128200,100900,161400,182600,177700,124300,104900,497400,91000,108700
"01/2012",191800,287900,101200,71000,100200,72600,87200,81300,107800,201100,99900,112200,228600,121000,125900,83800,99900,97000,154900,83400,118700,480300,114900,105600,122100,89300,376700,918000,97500,100600,119000,135500,218000,85500,86600,117200,299700,406300,162000,357300,371600,70500,222000,148700,113400,84400,83500,325700,130600,100700,162400,181500,178000,125400,104700,492000,90800,108800
"02/2012",190400,284600,100600,70800,99800,72600,87700,80400,107000,201000,99000,112400,227700,121200,126500,83700,99700,96600,155700,83400,119600,479700,115400,105500,122000,88900,376400,921500,98000,100800,119100,135100,215600,85600,87000,115800,299900,403400,161700,356500,368600,71000,222000,148700,113700,84700,83600,324000,131700,99900,163400,179700,179000,126300,104400,489700,90900,109100
"03/2012",189200,283000,100400,70600,99900,72500,88000,83400,106300,199400,97900,112900,227000,121300,126400,81600,99000,96400,156200,83300,120000,480100,115600,105600,121800,88500,375900,926300,98400,100900,118700,135000,212900,85700,87800,115500,300200,402100,161900,356800,364500,71300,222100,149300,113800,84700,83800,323400,131500,98700,163800,177900,180600,125900,104400,491100,91100,109500
"04/2012",189300,282600,100700,70600,100500,72500,88300,85400,106600,198200,96900,113400,226300,121300,125900,79000,98500,96800,155900,83100,120500,480900,116000,105700,121800,88100,375900,932600,98800,100800,118500,135600,211400,86100,88400,116600,300200,400800,162100,357700,360900,71500,221900,150000,114000,84700,84000,324500,130800,97500,164500,176600,181400,124600,104600,492800,91200,110100
"05/2012",189700,282700,100900,70600,101300,72900,88600,83400,107700,198300,96400,113900,226000,121500,125500,77600,98100,97000,155400,83000,121900,480800,116000,105700,121800,87600,377800,940000,99500,101200,118300,136300,210900,86600,88600,117300,297200,399400,161900,359000,361100,71900,221300,150600,114300,85100,84300,324800,129500,96900,165300,176000,181500,123900,104900,493900,91100,110800
"06/2012",189900,283700,100800,70500,102000,73500,89000,80400,109000,197700,96400,114400,226200,121600,125200,76400,97600,97100,154400,82800,123300,479300,115800,105900,121800,87200,379500,947600,100200,101600,118300,136600,210600,87400,88800,117000,292900,399800,161300,360900,364000,72300,221200,151000,114600,85400,84400,323700,126800,96700,165600,175700,181500,123800,105300,494600,91200,111100
"07/2012",189800,284600,100800,70200,102600,74100,89300,79900,109700,196500,96600,115100,226100,121600,124900,75900,97500,97200,152900,82700,124300,479500,115500,106600,122100,86800,379700,952100,100300,102000,118400,136500,209900,86800,88900,116700,290700,401400,161200,361900,366000,72600,221300,151300,114900,85500,84400,322500,124000,98100,165800,175900,181600,124000,105800,494700,91200,111400
"08/2012",190200,284600,100900,69900,103200,74500,89500,82300,109900,195100,97300,115500,225100,121800,124400,76000,97900,97300,152000,82700,125400,481300,115200,107800,122200,86900,379700,954800,100100,102200,118100,136200,209400,84200,88900,116600,289100,402700,161200,360900,366600,72500,220900,151400,115100,85900,84500,320700,122700,100100,166400,176700,182100,124200,106300,494400,91300,111800
"09/2012",190800,281600,101300,69700,103700,74500,89800,85400,109900,194000,98600,115900,223300,122100,123900,76100,98000,97200,152000,83000,126600,483700,114800,108900,122200,87100,379500,958800,99600,102100,118000,136300,209300,81700,88200,116400,288400,404400,160900,359500,366200,72500,220800,151600,115000,86600,84700,320400,122300,101000,167000,177000,182500,124500,106600,494000,91400,112300
"10/2012",191400,278000,101400,69400,104100,74400,89900,86800,109600,194100,99600,116000,221900,122400,123500,76400,97800,97200,151900,83200,127700,486700,114600,109700,122000,87100,378900,963200,99000,101900,118300,136600,209400,80800,87100,116100,290200,406900,160400,358900,365500,72700,221400,151600,114800,87100,85000,320900,121300,101000,167400,176300,182400,124600,106800,492500,91600,112700
"11/2012",192200,279800,101400,68900,104000,74100,89800,87200,109200,195200,100200,116800,221300,122500,123200,76800,97600,97300,151200,83200,128400,490600,114300,110200,121800,87200,378800,966900,98700,102000,118500,136700,209300,80300,86200,115900,293400,409900,160300,359100,365800,72800,222200,151700,114800,86700,85300,321400,120800,101200,167600,176200,182300,124700,107000,490900,91200,113200
"12/2012",192800,285800,101400,68300,103800,74000,89800,87900,108900,196400,100100,117200,220800,122800,123300,76700,97500,97300,150800,83600,128400,494000,114600,110600,121900,87600,379300,971700,99000,102100,118400,136500,208500,80100,85800,116000,293600,412800,160600,359900,366400,72800,223000,151900,114900,86400,85300,321400,121200,101800,168300,177300,182300,124600,107200,490400,90900,113600
"01/2013",192800,289400,101400,67900,103600,74100,89600,88900,108500,197300,99700,116400,219800,123300,124000,76400,97400,97100,151000,84000,128200,496600,115100,111200,121900,88000,380800,976300,99500,102300,118400,136400,207800,80100,86200,115800,293100,414600,160800,361400,366100,73100,223800,152000,114800,86800,85400,322500,121000,102600,169400,178500,182200,124300,107200,492400,91000,113800
"02/2013",192800,291100,101200,67500,103600,74400,89200,89200,108100,198600,99500,115100,217700,123700,123800,76700,97400,96900,151200,83800,128200,497000,115100,111900,121900,88100,383100,981200,99800,102600,118500,136600,207500,80400,86800,115800,295500,416000,161000,362900,366300,73400,224500,151800,114600,87500,85600,324000,122100,103400,170000,179900,181100,124000,107200,496600,91300,114000
"03/2013",193300,294200,100800,67200,104000,74700,89100,88600,108300,199200,99800,115000,215500,124100,125100,77600,97800,97100,152100,83300,127900,497800,115100,112400,122300,88100,385300,987200,99800,102900,118700,136600,208200,80500,86500,115900,298300,418700,161100,364400,367700,73700,225200,151900,114700,87900,85900,325400,125000,104600,169600,181600,179500,123700,107300,499800,91400,114400
"04/2013",193400,298000,100500,67000,104400,75000,89400,88100,108900,198400,100000,115300,214800,124500,129500,78100,98200,97500,154100,83000,127400,502400,115700,112800,122800,88500,386000,992200,99500,102900,119200,136500,209300,80700,86500,115400,298000,422800,161300,365500,369100,73600,226500,152100,114900,88200,86200,326100,127300,106400,169300,183200,179000,123600,107400,500000,91500,114800
"05/2013",193200,302200,100600,66600,104600,75100,89700,88200,109000,197500,100100,115500,215900,125100,134400,78000,98500,97700,155500,82600,126900,509900,116300,113100,123100,89400,385700,996000,99300,102600,120000,136400,210000,80900,87600,114400,298800,427400,161600,366200,369300,73600,227800,152000,115000,88100,86300,326900,128300,108500,169600,183900,179600,124000,107600,501300,91700,115200
"06/2013",193200,305600,101100,66600,104900,74900,89800,88600,108800,197600,100200,115400,217900,125800,136500,77400,98600,97700,155600,82600,126200,516300,116400,112900,123600,90100,386000,1001000,99500,102300,120200,136700,210300,80700,88700,113800,301500,431200,162000,366900,369000,73600,228500,151700,115200,87700,86400,328400,129600,109900,170100,183300,180700,124500,107800,504400,91900,115600
"07/2013",193600,307800,101500,67500,105400,74800,90000,88900,109000,198700,100100,115400,220200,126200,137900,77100,98400,98000,155300,82900,125400,521900,116600,112800,124000,90800,388100,1010100,100300,102400,120100,137200,210800,81300,89200,113800,302400,433900,162400,368300,369800,73300,228700,151200,115400,87400,86400,330900,130200,110200,170500,181600,181800,124200,107900,505500,92000,115800
"08/2013",194600,310600,101700,68300,105700,74800,90200,88700,109400,201200,100100,115400,222400,126600,138800,77000,98000,98600,154900,82900,124500,527400,116900,113100,124000,91800,390500,1024900,101200,102900,120000,137800,211500,83000,89400,114400,300200,435800,162800,370300,371900,72900,229500,150800,115600,87000,86400,333900,130300,110200,171600,178900,183100,124000,108100,504800,92100,115900
"09/2013",195300,313800,101800,68700,105600,75000,90200,88800,110000,204000,100500,115500,224500,127200,139400,77100,98000,98900,154800,82500,123800,533100,117200,113500,123900,92500,392300,1041200,101900,103700,119900,138000,212100,84600,89400,115100,298100,437500,163300,371700,374100,72600,230500,151100,115800,85800,86600,335400,132100,110200,174000,179500,184000,124800,108200,505100,92100,116500
"10/2013",195400,316800,101600,68900,105500,75300,90300,89200,110700,206300,100900,115200,225900,127600,139600,77200,98000,99400,154700,82300,123500,536800,117700,113500,124200,92600,394700,1057000,102600,104500,119700,138200,212400,85100,89500,115700,297000,439300,163400,371900,375300,72400,231000,151600,116300,86300,86800,335600,135100,109800,176100,184400,184700,126200,108100,506700,91800,116800
"11/2013",195200,319500,100700,69300,105400,75700,90700,90200,111400,208900,101100,114600,227200,128000,139900,76800,97600,100300,154500,82700,123400,539000,118200,113600,124600,92900,397600,1071900,103500,105100,119800,138600,212500,85000,89500,116000,295300,442100,163300,372900,375800,72200,231300,151700,116800,89100,86800,336200,136600,108900,177800,189000,185000,126800,108100,509400,91600,116900
"12/2013",195300,321500,99400,69700,105100,76000,91100,89700,112200,208300,101500,114500,229500,128500,140300,78100,97200,101300,154500,83700,123400,543200,116700,113800,125000,93300,400600,1087500,104100,105400,119900,139100,212600,84500,89300,116200,294000,445800,163000,374100,376500,71900,231000,151500,117000,92300,87100,337000,136700,108400,175800,190000,184900,127400,108100,513500,91400,117000
"01/2014",195700,321200,98600,69800,105100,76100,91200,87200,112800,203700,102200,114700,231300,128800,140200,80400,97300,102100,154800,84300,123500,549100,114900,114100,125200,93600,403300,1099900,104300,105800,120100,139400,212900,84300,89000,116700,295200,449900,162800,374000,377300,71500,230100,151700,117500,93900,87700,337200,136800,108400,169500,191200,185200,128200,108400,517600,91600,117200
"02/2014",196200,320100,98400,69800,105600,76000,91100,84400,113400,199700,103100,114800,231600,129000,139700,81000,97800,103000,154800,85800,123400,553600,116200,114100,125600,93900,403900,1109800,104700,105900,120400,139800,213300,84300,88900,117300,298400,454100,163000,374500,377500,71500,229700,151800,118100,94200,88200,337200,136600,108700,166200,192500,185900,128700,108900,519200,91900,117400
"03/2014",196500,319200,98500,69700,105700,75700,91000,83000,113900,198300,104000,115100,232600,129200,138900,80200,98100,103200,155200,87700,123200,557400,117800,114200,126000,93600,402600,1118700,105100,105700,120800,139900,213600,84100,89100,117100,301000,457700,163500,376600,379300,71500,230900,151500,118900,93400,88300,337900,135200,108600,169300,193300,186100,129100,109300,519100,92200,117500
"04/2014",196800,318700,98500,69500,105800,75400,90900,82400,114100,197600,104400,115700,233100,129400,138500,80100,98500,102100,156200,88500,122900,561300,115300,114500,126200,92800,403800,1132900,105500,105800,120800,139800,214000,83900,89300,116400,303200,461100,163700,378800,382200,71600,232400,151100,119600,93000,87500,338900,134800,108000,173200,193500,185000,129500,109500,520700,92400,117500
"05/2014",197100,318100,98400,69500,105900,75400,90800,82700,114200,197300,104400,115900,232000,129400,138100,79500,98600,101500,157400,88000,122700,564400,114100,115200,126500,92000,407400,1150400,106100,105800,120800,139700,214200,83700,89100,116100,305000,463600,164400,379800,384700,71400,233100,150500,120000,93500,86500,339500,135500,107300,175100,193500,183700,129600,109800,523000,92600,117400
"06/2014",197300,317300,98700,69500,106000,75800,90600,83400,114200,197600,104400,116100,230700,129400,137500,78900,98400,102000,158300,87600,122900,567200,114900,116100,126500,91700,410600,1166300,106800,105700,121000,139700,213900,83600,89000,116300,304500,465400,165300,380900,386300,71300,233200,150000,120300,93800,86200,338900,135900,107200,176800,194000,183300,129600,110100,523500,92700,117800
"07/2014",197400,317200,99400,69600,105600,76000,90200,83800,114200,198100,104800,116400,231100,129700,136800,78600,98200,102000,158900,87300,123900,571300,115900,116600,125900,91600,413100,1176300,107300,105300,121300,139600,212600,83600,89500,116600,302700,468300,165200,382400,388600,71300,233200,150200,120500,93700,86600,338400,135300,107500,177900,195000,183500,130000,110500,524500,92900,118400
"08/2014",197400,317600,100000,69900,105200,75900,89800,83700,114300,198500,105300,116500,232100,130100,136600,78300,98300,101300,158500,87100,124800,577500,117400,116300,125100,91400,416800,1185200,107400,104900,121800,139800,211200,84000,90100,116700,302600,472100,164600,384500,389500,71500,233000,150900,120600,93900,87400,338200,133900,107700,178400,196100,183300,131000,110900,529100,93100,119000
"09/2014",197600,318100,100200,70300,105400,75800,89800,83600,114500,198800,105900,116600,232500,130100,137200,78000,98600,100500,157900,86900,124300,585500,118600,116100,124400,91200,419800,1194900,107200,104600,122100,139800,210500,84400,90400,116600,303900,475100,164800,386400,389500,71700,233100,150700,120600,94500,87800,338600,131200,107900,178500,196600,183800,130600,111200,534400,93200,119300
